year,station_id,station_name,station_lat,station_lon,station_address
2010,1,Facultad de Derecho,-34.5831330757635,-58.392452073017,Av. Pres.Figueroa Alcorta y  Juan A.Bibiloni
2010,2,Retiro,-34.5925888097729,-58.3748217877563,Av. Dr.Jose Ramos Mejia y Del Libertador Av
2010,3,Aduana,-34.6112420249771,-58.368917842554104,Av. Ing.Huergo y Av. Belgrano
2010,4,Plaza Roma,-34.6017210875929,-58.3689503833679,Lavalle y Bouchard
2011,9,Parque Las Heras,-34.5839145725724,-58.4071446712567,Parque Las Heras
2011,14,Pacífico,-34.5777874974914,-58.4263198647396,Pacífico
2011,5,Plaza Italia,-34.5801273443074,-58.420997041077996,Av. Santa Fe y Av. Sarmiento
2011,12,Plaza Vicente López,-34.5931772798824,-58.388948867519595,Plaza Vicente López
2011,8,Congreso,-34.6099304592001,-58.389253260153296,Av. Hipólito Yrigoyen y Virrey Ceballos
2011,11,Tribunales,-34.6013128134582,-58.385021610721594,Tribunales
2011,43,Plaza Houssay,-34.599189849214696,-58.3985214522976,Plaza Houssay
2011,10,Puerto Madero - UCA,-34.615551427997495,-58.3657458611297,Moreau de Justo 1500
2011,7,Obelisco,-34.6058404963166,-58.3809896041082,Av. 9 de Julio y Tte. Gral Juan Domingo Perón
2011,16,Legislatura,-34.6099593400598,-58.374717240582,Perú y Diagonal Sur
2011,6,Parque Lezama,-34.62830131247,-58.3697086719241,Av Martín García e Irala
2011,183,Virrey Cevallos,-34.6156376341942,-58.389691907404696,México 1652 entre Virrey Cevallos y Solís
2011,17,Plaza Almagro,-34.606398525093304,-58.41883221444161,Plaza Almagro
2011,13,Once,-34.6096220036013,-58.4065992807793,Plaza Miserere
2011,19,Plaza San Martín,-34.5954047949981,-58.3775489312645,Plaza San Martín
2011,18,Independencia,-34.6173731525033,-58.3804806550249,Av. Independencia y 9 de Julio
2012,20,Distrito Audiovisual,-34.5800361241865,-58.441788509931705,Zapiola y Dorrego
2012,21,Parque Patricios,-34.6400292426058,-58.4066133884138,Iguazú y Uspallata
2012,22,Arenales,-34.594099836289,-58.382570459236604,Arenales y Cerrito
2012,23,Suipacha,-34.6002957825126,-58.3795661232215,Suipacha y Viamonte
